dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_APSFailure,hyperfast,mitra,784,512,0.14706161184465802,0.21476969122886658,1.0722174644470215
tabarena_Amazon_employee_access,hyperfast,mitra,784,512,0.11886804343952338,-0.013135897926986217,1.1465258598327637
tabarena_Bank_Customer_Churn,hyperfast,mitra,784,512,0.20329009519871444,0.2164640873670578,1.1062073707580566
tabarena_Bioresponse,hyperfast,mitra,784,512,0.8568823235286877,-0.4983093738555908,0.5743489265441895
tabarena_Diabetes130US,hyperfast,mitra,784,512,0.16861486611068763,0.08800540864467621,1.0647393465042114
tabarena_E-CommereShippingData,hyperfast,mitra,784,512,0.22518233539163846,0.4865250885486603,0.9808027744293213
tabarena_Fitness_Club,hyperfast,mitra,784,512,0.6300296628774247,-0.5814108848571777,0.6960580945014954
tabarena_GiveMeSomeCredit,hyperfast,mitra,784,512,0.1403328600455903,-0.06929940730333328,1.1605952978134155
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,hyperfast,mitra,784,512,0.08543839877897923,0.02544521540403366,1.165566086769104
tabarena_Is-this-a-good-customer,hyperfast,mitra,784,512,0.07785378648012359,0.07473786920309067,1.1941653490066528
tabarena_MIC,hyperfast,mitra,784,512,0.03181451548526227,-0.07919354736804962,1.2326159477233887
tabarena_Marketing_Campaign,hyperfast,mitra,784,512,0.03108471598223365,0.22962549328804016,1.278573751449585
tabarena_NATICUSdroid,hyperfast,mitra,784,512,0.6985114203331636,-0.13732294738292694,0.6719026565551758
tabarena_SDSS17,hyperfast,mitra,784,512,0.027249285364506534,0.07972900569438934,1.2866262197494507
tabarena_airfoil_self_noise,hyperfast,mitra,784,512,0.1931499916626967,0.1963721662759781,1.0655648708343506
tabarena_anneal,hyperfast,mitra,784,512,0.06049825191672421,0.031038889661431313,1.206489086151123
tabarena_bank-marketing,hyperfast,mitra,784,512,0.08141206372567596,0.032012101262807846,1.210216760635376
tabarena_blood-transfusion-service-center,hyperfast,mitra,784,512,0.41930840279552384,0.2777668833732605,0.9119391441345215
tabarena_churn,hyperfast,mitra,784,512,0.45983316906639204,0.23108981549739838,0.9068399667739868
tabarena_coil2000_insurance_policies,hyperfast,mitra,784,512,0.1988089244773242,-0.144941046833992,0.9969388246536255
tabarena_credit-g,hyperfast,mitra,784,512,0.12595578768723112,-0.10920295864343643,1.1753671169281006
tabarena_credit_card_clients_default,hyperfast,mitra,784,512,0.20715762474462873,0.019772272557020187,1.0351632833480835
tabarena_customer_satisfaction_in_airline,hyperfast,mitra,784,512,0.007099800134483868,0.015050159767270088,1.3436506986618042
tabarena_diabetes,hyperfast,mitra,784,512,0.20396124198260712,-0.12791761755943298,0.9879747033119202
tabarena_hazelnut-spread-contaminant-detection,hyperfast,mitra,784,512,0.28554415144083833,-0.24351952970027924,0.9557792544364929
tabarena_heloc,hyperfast,mitra,784,512,0.297914492932843,-0.24957840144634247,0.9426224827766418
tabarena_hiva_agnostic,hyperfast,mitra,784,512,0.5437720725076582,-0.23111207783222198,0.8684622049331665
tabarena_in_vehicle_coupon_recommendation,hyperfast,mitra,784,512,0.03437887243510949,0.0560554601252079,1.2464078664779663
tabarena_jm1,hyperfast,mitra,784,512,0.3778893413404551,-0.3178112804889679,0.9159810543060303
tabarena_kddcup09_appetency,hyperfast,mitra,784,512,0.48806472639868476,-0.2126704603433609,0.8792306184768677
tabarena_maternal_health_risk,hyperfast,mitra,784,512,0.20884281556005763,0.16616839170455933,1.0502018928527832
tabarena_online_shoppers_intention,hyperfast,mitra,784,512,0.2923514078063669,0.26503464579582214,0.9710284471511841
tabarena_polish_companies_bankruptcy,hyperfast,mitra,784,512,0.4370360092123227,0.35523077845573425,0.9366714954376221
tabarena_qsar-biodeg,hyperfast,mitra,784,512,0.36034977002369567,-0.13668407499790192,0.8868030309677124
tabarena_seismic-bumps,hyperfast,mitra,784,512,0.1490552088785228,0.16665306687355042,1.0952450037002563
tabarena_splice,hyperfast,mitra,784,512,0.403603499451343,0.11407902091741562,0.955992579460144
