dataset,model_a,model_b,cka_score,mean_cosine_sim,procrustes_distance,dim_a,dim_b
iris,tabpfn,tabpfn_final_probs,0.7099958195803696,-0.08048679679632187,0.7243182063102722,192,3
iris,tabpfn,tabpfn_last_transformer_layer,0.9999999988398374,1.0,2.3577973120870446e-15,192,192
iris,tabpfn,tabicl,0.7144938955857929,0.46011239290237427,0.7461756467819214,192,512
iris,tabpfn,tabicl_final_probs,0.7387087988703777,-0.07629093527793884,0.7001929879188538,192,3
iris,tabpfn,tabicl_icl_last_block,0.7144938955857929,0.46011239290237427,0.7461756467819214,192,512
iris,tabpfn,tabicl_row_output,0.6067646332025635,0.4352905750274658,0.8286383748054504,192,128
iris,tabpfn_final_probs,tabpfn_last_transformer_layer,0.7099958195803693,-0.08048679679632187,0.7243181467056274,3,192
iris,tabpfn_final_probs,tabicl,0.4438175588210763,-0.19314239919185638,0.9814842939376831,3,512
iris,tabpfn_final_probs,tabicl_final_probs,0.8810488082457738,0.9805248975753784,0.35032105445861816,3,3
iris,tabpfn_final_probs,tabicl_icl_last_block,0.4438175588210763,-0.19314239919185638,0.9814842939376831,3,512
iris,tabpfn_final_probs,tabicl_row_output,0.4693541789816775,-0.03637944161891937,0.9377345442771912,3,128
iris,tabpfn_last_transformer_layer,tabicl,0.7144938955857929,0.46011239290237427,0.7461756467819214,192,512
iris,tabpfn_last_transformer_layer,tabicl_final_probs,0.7387087988703777,-0.07629093527793884,0.7001929879188538,192,3
iris,tabpfn_last_transformer_layer,tabicl_icl_last_block,0.7144938955857929,0.46011239290237427,0.7461756467819214,192,512
iris,tabpfn_last_transformer_layer,tabicl_row_output,0.6067646332025635,0.4352905750274658,0.8286383748054504,192,128
iris,tabicl,tabicl_final_probs,0.5440302484322284,-0.2064996063709259,0.9071866869926453,512,3
iris,tabicl,tabicl_icl_last_block,0.9999999999976751,1.0,1.6287499038838237e-19,512,512
iris,tabicl,tabicl_row_output,0.72458013036474,0.27973100543022156,0.6187060475349426,512,128
iris,tabicl_final_probs,tabicl_icl_last_block,0.5440302484322282,-0.2064996063709259,0.9071866869926453,3,512
iris,tabicl_final_probs,tabicl_row_output,0.5602391573064218,-0.015282763168215752,0.874717652797699,3,128
iris,tabicl_icl_last_block,tabicl_row_output,0.72458013036474,0.27973100543022156,0.6187060475349426,512,128
wine,tabpfn,tabpfn_final_probs,0.5810054175029441,0.020885493606328964,0.755688488483429,192,2
wine,tabpfn,tabpfn_last_transformer_layer,0.9999999979240237,1.0,3.649507098298565e-15,192,192
wine,tabpfn,tabicl,0.8490546905767953,0.45700803399086,0.5321851968765259,192,512
wine,tabpfn,tabicl_final_probs,0.3912275585370709,0.024573206901550293,0.9082233905792236,192,2
