dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_APSFailure,carte,hyperfast,300,784,0.09618013591147373,0.06889583170413971,1.1968430280685425
tabarena_Amazon_employee_access,carte,hyperfast,300,784,0.023652071337385235,0.029926033690571785,1.3001625537872314
tabarena_Another-Dataset-on-used-Fiat-500,carte,hyperfast,300,784,0.033727525641619883,-0.15467561781406403,1.2738311290740967
tabarena_Bank_Customer_Churn,carte,hyperfast,300,784,0.09472613145939975,-0.10624156892299652,1.159457802772522
tabarena_Bioresponse,carte,hyperfast,300,784,0.08611502831423651,-0.10082831233739853,1.166994333267212
tabarena_Diabetes130US,carte,hyperfast,300,784,0.00849733508241873,0.0015547992661595345,1.3368265628814697
tabarena_E-CommereShippingData,carte,hyperfast,300,784,0.23647549067295717,0.4391466975212097,0.9754396080970764
tabarena_Fitness_Club,carte,hyperfast,300,784,0.2762092882398166,-0.26294806599617004,1.036575198173523
tabarena_Food_Delivery_Time,carte,hyperfast,300,784,0.31839956754667764,0.26250162720680237,0.963109016418457
tabarena_GiveMeSomeCredit,carte,hyperfast,300,784,0.01572779264830349,-0.08934861421585083,1.3248887062072754
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,carte,hyperfast,300,784,0.06679330226287256,0.15959253907203674,1.2150700092315674
tabarena_Is-this-a-good-customer,carte,hyperfast,300,784,0.07422350146323396,0.18085473775863647,1.2367041110992432
tabarena_MIC,carte,hyperfast,300,784,0.018881234068781973,-0.037991002202034,1.2954521179199219
tabarena_Marketing_Campaign,carte,hyperfast,300,784,0.030393614186504703,0.09272976964712143,1.2842384576797485
tabarena_NATICUSdroid,carte,hyperfast,300,784,0.4470084924969633,0.24262306094169617,0.942449688911438
tabarena_QSAR-TID-11,carte,hyperfast,300,784,0.2375309527251808,0.15178577601909637,1.2143961191177368
tabarena_QSAR_fish_toxicity,carte,hyperfast,300,784,0.3634440992662814,0.06517287343740463,0.8993151783943176
tabarena_SDSS17,carte,hyperfast,300,784,0.02485350400585344,-0.027150148525834084,1.3005000352859497
tabarena_airfoil_self_noise,carte,hyperfast,300,784,0.02029127403203239,-0.05051978677511215,1.2988088130950928
tabarena_anneal,carte,hyperfast,300,784,0.02923517935179492,-0.039971522986888885,1.236879587173462
tabarena_bank-marketing,carte,hyperfast,300,784,0.05689201878271429,0.03031339682638645,1.248996615409851
tabarena_blood-transfusion-service-center,carte,hyperfast,300,784,0.4172848668959167,0.3034978210926056,0.9425602555274963
tabarena_churn,carte,hyperfast,300,784,0.2209446778093819,0.30170828104019165,1.0598469972610474
tabarena_coil2000_insurance_policies,carte,hyperfast,300,784,0.21033082172019057,-0.21711131930351257,1.0824503898620605
