dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_APSFailure,hyperfast,mitra,784,512,0.1470616035783406,0.21476969122886658,1.0722174644470215
tabarena_Amazon_employee_access,hyperfast,mitra,784,512,0.11886804062113646,-0.013135897926986217,1.1465257406234741
tabarena_Another-Dataset-on-used-Fiat-500,hyperfast,mitra,784,512,0.1253430307361024,-0.16740398108959198,1.0682060718536377
tabarena_Bank_Customer_Churn,hyperfast,mitra,784,512,0.20329009247962895,0.2164640873670578,1.1062071323394775
tabarena_Bioresponse,hyperfast,mitra,784,512,0.8568823284986613,-0.4983093738555908,0.5743489265441895
tabarena_Diabetes130US,hyperfast,mitra,784,512,0.16861486190971434,0.08800540864467621,1.064739465713501
tabarena_E-CommereShippingData,hyperfast,mitra,784,512,0.2251823352707089,0.42777499556541443,0.9808028340339661
tabarena_Fitness_Club,hyperfast,mitra,784,512,0.6300296787962956,-0.5814108848571777,0.6960580348968506
tabarena_Food_Delivery_Time,hyperfast,mitra,784,512,0.05544121892682597,0.06248647719621658,1.237599492073059
tabarena_GiveMeSomeCredit,hyperfast,mitra,784,512,0.14033285791959083,-0.06929940730333328,1.160595178604126
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,hyperfast,mitra,784,512,0.08543839217912277,0.03457753732800484,1.1655659675598145
tabarena_Is-this-a-good-customer,hyperfast,mitra,784,512,0.07785378411748455,0.07473786920309067,1.1941653490066528
tabarena_MIC,hyperfast,mitra,784,512,0.03181451712612585,-0.07919354736804962,1.2326159477233887
tabarena_Marketing_Campaign,hyperfast,mitra,784,512,0.03108471074670924,0.22962549328804016,1.2785736322402954
tabarena_NATICUSdroid,hyperfast,mitra,784,512,0.6985114256038435,-0.13732294738292694,0.671902596950531
tabarena_QSAR_fish_toxicity,hyperfast,mitra,784,512,0.704975816559731,0.5086410045623779,0.5811024904251099
tabarena_SDSS17,hyperfast,mitra,784,512,0.027249290358685185,0.08328671753406525,1.2866261005401611
tabarena_airfoil_self_noise,hyperfast,mitra,784,512,0.19713046767093345,0.23161520063877106,1.114150881767273
tabarena_anneal,hyperfast,mitra,784,512,0.060498259084184616,0.031038889661431313,1.206488847732544
tabarena_bank-marketing,hyperfast,mitra,784,512,0.08141206200481627,0.032012101262807846,1.2102166414260864
tabarena_blood-transfusion-service-center,hyperfast,mitra,784,512,0.41930839903641726,0.2777668833732605,0.9119391441345215
tabarena_churn,hyperfast,mitra,784,512,0.4598331710802996,0.22641883790493011,0.906839907169342
tabarena_coil2000_insurance_policies,hyperfast,mitra,784,512,0.19880892177156284,-0.04382971674203873,0.9969387650489807
tabarena_concrete_compressive_strength,hyperfast,mitra,784,512,0.42632625333739865,0.25925543904304504,0.7955360412597656
tabarena_credit-g,hyperfast,mitra,784,512,0.12595579156402137,-0.10600807517766953,1.175366759300232
tabarena_credit_card_clients_default,hyperfast,mitra,784,512,0.20715763354277633,0.019772272557020187,1.0351632833480835
tabarena_customer_satisfaction_in_airline,hyperfast,mitra,784,512,0.007099802008619358,0.015050159767270088,1.3436506986618042
tabarena_diabetes,hyperfast,mitra,784,512,0.20396124451056097,-0.12791761755943298,0.9879746437072754
tabarena_diamonds,hyperfast,mitra,784,512,0.7211301689659257,0.2817748486995697,0.7091265916824341
tabarena_hazelnut-spread-contaminant-detection,hyperfast,mitra,784,512,0.28554414706483916,-0.2474384307861328,0.9557791948318481
tabarena_healthcare_insurance_expenses,hyperfast,mitra,784,512,0.16259112391854919,0.022417264059185982,1.111970067024231
tabarena_heloc,hyperfast,mitra,784,512,0.2979144834322285,-0.2494107186794281,0.9426225423812866
tabarena_hiva_agnostic,hyperfast,mitra,784,512,0.5437720713184427,-0.23111207783222198,0.8684620261192322
tabarena_houses,hyperfast,mitra,784,512,0.19420588264555136,0.07808483392000198,1.0361989736557007
tabarena_in_vehicle_coupon_recommendation,hyperfast,mitra,784,512,0.03437886626059783,0.0560554601252079,1.2464077472686768
tabarena_jm1,hyperfast,mitra,784,512,0.37788932974461803,-0.3178112804889679,0.9159809350967407
tabarena_kddcup09_appetency,hyperfast,mitra,784,512,0.4880647259603255,-0.2126704603433609,0.8792306184768677
tabarena_maternal_health_risk,hyperfast,mitra,784,512,0.20884281262135332,0.16616839170455933,1.0502017736434937
tabarena_miami_housing,hyperfast,mitra,784,512,0.4939418657653128,-0.20478643476963043,0.7969194054603577
tabarena_online_shoppers_intention,hyperfast,mitra,784,512,0.2923514094026562,0.26503464579582214,0.9710283279418945
tabarena_physiochemical_protein,hyperfast,mitra,784,512,0.25931986159566145,-0.2000163197517395,1.0280474424362183
tabarena_polish_companies_bankruptcy,hyperfast,mitra,784,512,0.43703600963054273,0.35523077845573425,0.9366714358329773
tabarena_qsar-biodeg,hyperfast,mitra,784,512,0.36034977468737756,-0.13668407499790192,0.8868029713630676
tabarena_seismic-bumps,hyperfast,mitra,784,512,0.14905520475563735,0.16665306687355042,1.0952447652816772
tabarena_splice,hyperfast,mitra,784,512,0.40360349912124766,0.09109623730182648,0.9559925198554993
tabarena_students_dropout_and_academic_success,hyperfast,mitra,784,512,0.1052929653134082,-0.02115238644182682,1.1157937049865723
tabarena_superconductivity,hyperfast,mitra,784,512,0.6588622456182943,0.6035696864128113,0.7278196215629578
tabarena_taiwanese_bankruptcy_prediction,hyperfast,mitra,784,512,0.07375611447112895,-0.01527000218629837,1.1592453718185425
tabarena_website_phishing,hyperfast,mitra,784,512,0.37880154796558485,0.014874552376568317,0.8915289044380188
tabarena_wine_quality,hyperfast,mitra,784,512,0.2001914797960107,0.012671512551605701,1.1348707675933838
tabarena_APSFailure,hyperfast,tabicl,784,512,0.0868487464528688,0.1878470480442047,1.1070144176483154
tabarena_Amazon_employee_access,hyperfast,tabicl,784,512,0.08460503669552,-0.08377647399902344,1.1928383111953735
