donor,feat,dataset,recipient,n_rows,row,a_start,a_final,suppression_frac,n_cols_changed,n_suppressors,n_repairs,ablate_x1e3,patch_x1e3,patch_columns
mitra,107,Marketing_Campaign,tabdpt,4,137,2.9276421070098877,0.0,1.0,5,2,3,-2.4968981742858887,-3.7695765495300293,Recency|Dt_Customer|MntGoldProds|MntSweetProducts|MntWines
mitra,107,online_shoppers_intention,tabicl,4,147,2.7798690795898438,0.0,1.0,5,5,0,-52.73997783660889,-52.73997783660889,Administrative|Informational|Region|Browser|Informational_Duration
mitra,107,splice,tabdpt,4,46,3.5106663703918457,2.034348964691162,0.4205234134897026,15,15,0,-10.164976119995117,-2.8974413871765137,position_21|position_-5|position_-6|position_18|position_-27|position_22|position_14|position_27|position_-7|position_11|position_-29|position_-25|position_20|position_-24|position_23
mitra,115,Diabetes130US,tabdpt,9,150,7.080696105957031,0.0,1.0,8,2,6,-8.573241531848907,-8.573241531848907,number_emergency|insulin|race|discharge_disposition_id|payer_code|diag_1|diag_2|diag_3
mitra,115,Marketing_Campaign,tabdpt,7,186,3.1460704803466797,0.0,1.0,4,1,3,3.6753416061401367,3.6753416061401367,Dt_Customer|Recency|Year_Birth|MntWines
mitra,20,Diabetes130US,tabdpt,2,86,4.208683013916016,0.0,1.0,6,6,0,-1.2890100479125977,-6.6127777099609375,number_diagnoses|time_in_hospital|diag_3|payer_code|diag_2|diabetesMed
mitra,20,Amazon_employee_access,tabpfn,5,136,1.3137378692626953,0.0,1.0,1,1,0,-0.5170702934265137,-0.4019737243652344,RESOURCE
mitra,25,bank-marketing,tabicl,8,100,8.42978572845459,0.0,1.0,3,1,2,9.050190448760986,9.050190448760986,previous|balance|job
mitra,25,Marketing_Campaign,tabicl,2,188,7.504676818847656,0.0,1.0,3,3,0,-18.13971996307373,-18.13971996307373,MntFishProducts|AcceptedCmp5|MntGoldProds
mitra,25,credit-g,tabdpt,1,35,6.360034465789795,0.0,1.0,5,2,3,-14.555126428604126,-14.555126428604126,duration_months|other_debtors|existing_credits_count|property|credit_purpose
mitra,36,Diabetes130US,tabdpt,13,124,12.255191802978516,0.0,1.0,2,2,0,-11.341094970703125,-11.341094970703125,num_medications|change
mitra,36,in_vehicle_coupon_recommendation,tabdpt,10,38,3.004814386367798,0.0,1.0,2,2,0,-81.50225877761841,-81.50225877761841,RestaurantLessThan20|destination
mitra,36,bank-marketing,tabicl,4,110,14.747455596923828,0.0,1.0,7,6,1,-68.54066252708435,-68.54066252708435,poutcome|contact|default|age|pdays|loan|balance
mitra,52,splice,tabdpt,7,179,1.5045198202133179,0.0,1.0,3,3,0,-1.742720603942871,-1.6474127769470215,position_28|position_18|position_-8
mitra,52,anneal,tabdpt,6,19,4.783343315124512,0.0,1.0,2,2,0,-0.18912553787231445,-0.8541345596313477,ferro|formability
mitra,52,coil2000_insurance_policies,tabicl,8,197,3.5342156887054443,0.0,1.0,6,5,1,-4.555292427539825,-4.623241722583771,highLevelEducation|socialClassA|householdWithoutChildren|middleManagement|noReligion|unskilledLabourers
mitra,535,online_shoppers_intention,tabpfn,10,180,6.610957145690918,4.899097442626953,0.25894279229744677,5,5,0,9.6321702003479,3.41796875,ProductRelated_Duration|Administrative_Duration|BounceRates|ExitRates|Region
mitra,535,Is-this-a-good-customer,tabdpt,3,101,3.2525532245635986,0.0,1.0,2,2,0,-9.048491716384888,-9.048491716384888,education|sex
mitra,535,bank-marketing,tabicl,7,158,4.899415493011475,0.0,1.0,2,2,0,-3.0761808156967163,-3.0761808156967163,job|balance
mitra,70,online_shoppers_intention,tabdpt,6,123,1.6297008991241455,0.0,1.0,6,1,5,-93.11529994010925,-93.11529994010925,PageValues|ProductRelated_Duration|Administrative_Duration|Informational_Duration|ProductRelated|BounceRates
mitra,70,GiveMeSomeCredit,tabpfn,5,114,6.901310920715332,3.761773109436035,0.4549190505032164,3,3,0,-35.93850135803223,-16.214728355407715,NumberOfOpenCreditLinesAndLoans|RevolvingUtilizationOfUnsecuredLines|MonthlyIncome
mitra,70,MIC,tabdpt,4,85,12.321377754211426,11.834311485290527,0.03953017906251759,4,4,0,-21.52368426322937,-0.63372403383255,S_AD_ORIT|NA_R_3_n|post_im|ALT_BLOOD
tabdpt,10,jm1,mitra,9,54,6.762419700622559,3.155272960662842,0.5334106576714897,8,8,0,-5.002498626708984,-2.6819705963134766,locCodeAndComment|d|i|lOComment|total_Opnd|l|total_Op|b
